"VMName","ResourceGroup","AutoShutdownSchedule"
"QN-AZBLD-01","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-02","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-03","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-04","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-05","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-06","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-07","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-08","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-09","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-10","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-11","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-12","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-13","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-14","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-15","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-16","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-17","T3DEV-QNXT-BLD-RG",
"QN-AZBLD-18","T3DEV-QNXT-BLD-RG",
"QN-AZDEP-01","T3DEV-QNXT-BLD-RG",
"TST-MM-2012R2-5","T3DEV-QNXT-BLD-RG",
"TTest-001","T3DEV-QNXT-BLD-RG",
"W2012R2NET452-2","T3DEV-QNXT-BLD-RG",
"W2012R2NET452-4","T3DEV-QNXT-BLD-RG",
"QN-AZADMIN","T3DEV-QNXT-DEV-RG",
"lm-test-sql-01","T3DEV-QNXT-DEVELOPMENT-RG",
"lm-test-vm","T3DEV-QNXT-DEVELOPMENT-RG",
"QN--AZDV-999","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDEV-100","T3DEV-QNXT-DEVELOPMENT-RG","Mountain Standard Time;Monday,Tuesday,Wednesday,Thursday=9:00PM -> 8:00AM,Friday=8:00PM -> 11:59PM,Saturday,Sunday=12:00AM -> 4PM"
"QN-AZDEV-101","T3DEV-QNXT-DEVELOPMENT-RG","Mountain Standard Time;Friday=8:00PM -> 11:59PM,Saturday,Sunday=12:00AM -> 4PM"
"QN-AZDV-001","T3DEV-QNXT-DEVELOPMENT-RG","Mountain Standard Time;Saturday,Sunday"
"QN-AZDV-0010","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-0011","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-0012","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-0013","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-0015","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-0016","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-0017","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-0018","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-002","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-003","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-004","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-005","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-006","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-007","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-008","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-009","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-010","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-011","T3DEV-QNXT-DEVELOPMENT-RG","Mountain Standard Time;Friday=8:00PM -> 11:59PM,Saturday,Sunday=12:00AM -> 4PM"
"QN-AZDV-022","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-023","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-040","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-041","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-042","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-043","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-046","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-100","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-101","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-102","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-103","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-104","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-105","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-106","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-107","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-108","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-109","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-110","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-111","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-112","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-113","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-114","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-115","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-116","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-117","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-118","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-119","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-120","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-121","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-122","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-123","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-124","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-125","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-126","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-127","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-128","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-129","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-130","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-131","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-132","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-133","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-2019","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-300","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-301","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-302","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-303","T3DEV-QNXT-DEVELOPMENT-RG",
"QN-AZDV-304","T3DEV-QNXT-DEVELOPMENT-RG",
